"logFC","logCPM","F","PValue","FDR"
-1.47888569014438,6.20914686372206,2669.7439170056,1.10626053494244e-28,8.16803211126538e-26
-4.10978794104055,4.00581641111253,2584.77926317543,1.71270053824267e-28,1.21773008269054e-25
-0.976551901398508,7.18135178984241,2378.47849956415,5.23353022289012e-28,3.5881457031722e-25
-1.47627076030344,6.04420295292018,2329.86493387084,6.90816315147433e-28,4.57296579375354e-25
-0.927929591784808,8.41057468790039,2288.213766014,8.80346954830125e-28,5.63334016395797e-25
-2.34200946356641,4.81323004916912,2257.2448835235,1.05741729530685e-27,6.30049757439894e-25
2.39505737899855,4.30714562191845,2256.40688828011,1.06280352283289e-27,6.30049757439894e-25
-2.63308447177169,5.04450227332117,2253.22225130213,1.08306724985761e-27,6.30049757439894e-25
-3.68985262200737,3.49096948478687,2229.41048284771,1.2516129985761e-27,7.06682786284274e-25
-1.06323021061752,6.90113834086382,2187.67764525137,1.60999775751445e-27,8.68794272733222e-25
0.733617923926752,8.56727972981847,2185.74287018724,1.62924383072334e-27,8.68794272733222e-25
-1.88280980093132,5.39482848438954,2156.08753946155,1.95738204419737e-27,1.01556386763397e-24
0.993802672153672,6.72931002725348,2127.29589316805,2.34460532456436e-27,1.18445758988584e-24
-1.53781362614487,5.59480939462853,2088.67038648393,2.99859505434499e-27,1.47600075021181e-24
-1.3972375155652,5.64567060966255,2065.34817008867,3.4864107429213e-27,1.67321567579651e-24
-1.60461447961789,5.21924824189989,1987.93157179594,5.82149452886233e-27,2.72573732855049e-24
1.16705556044708,6.48090732261416,1912.80295055541,9.75968868900806e-27,4.46087485149733e-24
0.609004391933295,9.46209371446454,1851.33626880114,1.512169406117e-26,6.71392411092808e-24
-1.74921802477643,4.59179609846631,1848.93128640786,1.53884805376275e-26,6.71392411092808e-24
2.92149637789104,3.42335713364282,1836.47426019216,1.6861598081268e-26,7.19315774146894e-24
-0.876472126515603,6.8942837098164,1812.42056291968,2.01022315198783e-26,8.29238856996633e-24
-3.71582866562981,2.90452303583695,1811.08541999669,2.0400714214973e-26,8.29238856996633e-24
-3.3030710256694,3.98592145226321,1808.29798972155,2.07342111454073e-26,8.29238856996633e-24
-2.79169510657152,3.77369919809146,1787.78060473731,2.41576163219281e-26,9.46436245983784e-24
-1.63514066321349,4.92908537188885,1742.78031950764,3.39778744052175e-26,1.2857844845385e-23
-2.54786731018795,3.37599646074041,1742.13627372808,3.41589877123839e-26,1.2857844845385e-23
-0.791147903614669,7.29891451752843,1712.77433106727,4.28722043726495e-26,1.5827263602726e-23
1.40373742901216,5.19793729402827,1656.2018117157,6.72082103351337e-26,2.43433210151616e-23
2.03006400139317,3.85775341108557,1645.78901656515,7.31443566963663e-26,2.60028188055582e-23
-1.00454674387685,6.44490937901296,1632.3976102734,8.15713553462974e-26,2.84713692469613e-23
-0.894393087822646,6.80318070212403,1583.5194097598,1.22495268114853e-25,4.12779108246947e-23
-1.87480360165307,4.7520097257495,1582.53919295274,1.23519303526651e-25,4.12779108246947e-23
-2.03889523103923,4.35201331861023,1581.41536141793,1.24713175383252e-25,4.12779108246947e-23
-3.94075338501812,2.96019035333106,1546.15913981058,1.69577081207549e-25,5.51757835244292e-23
1.50588174501395,4.69341678611921,1535.71846108303,1.84539253956744e-25,5.90433343034602e-23
-1.75455416956678,4.55083730299306,1467.47917760815,3.38708006275922e-25,1.06593075352113e-22
-1.887510635417,4.50423911276258,1462.18031443509,3.55487725724959e-25,1.10069320495839e-22
-3.91840906822673,2.48631950779287,1451.29269150847,3.97766992945672e-25,1.2120528513616e-22
1.5604291164786,5.01466263617903,1438.85121947819,4.40593565455718e-25,1.31184593446431e-22
0.975418800154889,6.2150517785682,1437.97450427264,4.44183912799813e-25,1.31184593446431e-22
-4.99024460393888,2.5230659851803,1443.16446955759,4.59234115317675e-25,1.33574504723536e-22
1.95400619305282,4.00285229850689,1411.70905506697,5.68212142633364e-25,1.62805500031831e-22
-1.35980506290666,5.55133164938669,1394.99730385749,6.65940129756101e-25,1.88000774572469e-22
2.07217701388595,4.12077694931066,1381.82210019091,7.5596186694296e-25,2.10321738546435e-22
-2.38830188821463,3.49284925545004,1374.57479937453,8.11008004797137e-25,2.22413152401295e-22
0.905628489673706,6.38857768403565,1372.77321511933,8.25038533313023e-25,2.23074151042396e-22
-2.31006247704201,3.73506861467221,1365.91660711749,8.8221441775936e-25,2.35220419135089e-22
0.95302170062592,6.86843086472597,1353.13053071308,9.99879436093139e-25,2.62940897735342e-22
-0.913603522828995,6.44192136010012,1343.28508005812,1.10213721752556e-24,2.85915245470787e-22
-1.41243410159005,5.14206217172726,1324.09901102112,1.33514907653696e-24,3.41744757630401e-22
-0.68149586551494,7.76414617725047,1319.31857065149,1.40106697408024e-24,3.53898456597609e-22
-4.4795258238849,2.27630852937717,1319.69311148072,1.46403116701077e-24,3.65000081988386e-22
0.807237895884049,7.00880448605748,1308.86410524997,1.5577782554694e-24,3.83393194490335e-22
1.08107018074875,5.66650035970786,1305.56115764401,1.6111307144005e-24,3.9150476359932e-22
-0.883958677601163,6.14351277218515,1293.43286063211,1.82446817686537e-24,4.32497476590785e-22
1.04214129297954,5.66436077309917,1293.41106608697,1.82488386747167e-24,4.32497476590785e-22
0.606562434376942,9.03500577558233,1282.79452200881,2.03665550102301e-24,4.76800922599254e-22
-1.1471630033984,5.4642951950069,1273.88146736993,2.23488166477898e-24,5.10796200582291e-22
0.924073002609095,5.9818662468087,1273.87239515251,2.23508260920521e-24,5.10796200582291e-22
0.459893505997902,9.24349794545437,1263.25467946303,2.49863004619025e-24,5.61312202958811e-22
1.37084506344415,5.08240872557794,1262.65194947285,2.51460381593258e-24,5.61312202958811e-22
-0.66858287982768,8.25616022174107,1258.81848502842,2.61846256435272e-24,5.71717613346128e-22
0.903951547652479,6.32688026220868,1258.73498576321,2.62078189167366e-24,5.71717613346128e-22
2.06949655658751,3.89662966553432,1254.48932879511,2.74203144235059e-24,5.91446939312407e-22
0.961071808133587,5.79588902650504,1227.92403804548,3.64509214588963e-24,7.77498154718259e-22
-1.23995588522135,5.269387494714,1225.20693883338,3.75417975004235e-24,7.90225971498046e-22
0.772690131365233,6.59187872237534,1224.40265689177,3.78709117975831e-24,7.90225971498046e-22
1.13217869220275,5.32659383327803,1222.14536819839,3.8812746655223e-24,8.01170212408943e-22
0.650336923014813,7.6839984620283,1217.01848831015,4.1045378536738e-24,8.38242693372085e-22
1.03250263267901,5.45804288948151,1213.16659961538,4.28140345204377e-24,8.56987195877868e-22
0.642779157197143,7.45855135963713,1213.07646590488,4.28560560526516e-24,8.56987195877868e-22
-1.07921226502559,5.53798620701222,1208.27343326187,4.51792187982352e-24,8.94129343577031e-22
1.29294338069667,5.12110832644951,1190.80843329531,5.48347977032412e-24,1.07414654235625e-21
-0.585146397105751,7.89426050103458,1179.58249055075,6.21949635945358e-24,1.20601688497404e-21
-0.583388798541141,8.31408305289195,1172.08271574442,6.76997572872074e-24,1.29963224064252e-21
-0.538905730261774,9.34170481451129,1169.94011372291,6.93668363584705e-24,1.31845065106293e-21
-0.530506260217894,8.29048000962062,1151.55901060906,8.56192604119077e-24,1.61140484522293e-21
