Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	UPF3B.KO_1	UPF3B.KO_2	UPF3B.KO_3	UPF3B.KO_4	UPF3B.KO_5	UPF3B.KO_6
CCDC15-DT	0.92274889275074	1.04140898108356	1.11460348611292	1.21987890120288	1.09114902201614	0.990276406116255	1.67191304070858	1.67829031946373	1.66381424607444	1.57551783756025	1.62712118061307	1.5624888258336
MITA1	0.493518526013807	0.352498237290707	0.51981459926669	0.407756304844401	0.7577250274807	0.837205406456237	0.539664310476508	0.226277073749228	0.519749463381004	0.436851817657682	0.340872684723572	0.18779601537865
LINC02680	0.121642604427303	0.0910190467511281	0	0.204036467895261	0.0664013218539272	0.111020361521089	0.0422892334943493	0.199858592898433	0.232666007726737	0.160768441658514	0.0808302065233382	0.0820699437147504
TOP1P1	0.60391925194966	0.730629466973617	0.860564320246653	0.751571196120279	0.517793634440122	0.731124462145587	0.795954807226735	0.914135176167921	0.739486588973596	0.580247897861986	0.561124209648405	0.589639364776723
LINC02988	0.272543917258263	0.424268447787951	0.397513292726953	0.322692697767649	0.258526557995628	0.278949956299024	0.113437665114142	0.27770556372363	0.0109357439103249	0.2300728872284	0.221167015648705	0.345654881058574
RELA-DT	1.48925670889561	1.14062286725817	1.39942871706884	1.29325573216189	1.11225806318064	1.11982964814457	1.36960692835115	1.33413074549779	0.918568770609476	1.20449468401766	1.46341723682193	1.40398584899669
LINC00941	2.78035017444974	2.90454299459185	3.01253642107487	2.45857521337663	2.74400687069933	2.55732820950951	3.43811415875149	3.31682271963682	3.22331970792793	3.42453076488804	3.50201826545993	3.46164954565147
TBCEL-TECTA	0.409145357868053	0.112904039129526	0.263875740656527	0.232297610714172	0.323321759252502	0.318046518091828	0.618649449752709	0.459433906860214	0.424814268010432	0.239707239710433	0.636594360883254	0.233406024336337
DHRS4L1	0.727526582379613	0.799722090957716	0.906133392386917	0.888097442638203	0.624491615771938	0.464627557923404	0.686884515322933	1.03363506961437	0.859294010385104	1.054264588204	0.582101600011153	0.761380249427937
POLR2J3	1.75157958626967	1.50159899095462	1.66396160625143	1.76242917276662	1.33959314127834	1.71652228663681	1.58875145906732	1.72843981871423	1.82120306868666	1.64241666176029	1.77412804083482	1.74676955776604
SOD2-OT1	0.356046573906589	0.458857600625746	0.397513292726953	0.564171120786078	0.295907938645125	0.38585645696229	0.307978756760229	0.474205719648984	0.374896344610986	0.420002184807344	0.496297373424101	0.378506660522829
GABPB1-IT1	3.77189595251451	3.70120721163599	3.63163759982152	3.69722232624323	3.69816138552998	3.58242050074504	3.59816515832295	3.65417085928106	3.54632279321119	3.64447046318393	3.60809294158419	3.62798558323511
LINC02478	0.100275051418478	0.134462001374613	0.142200498336833	0.0642965899116333	0.0984900044246385	0.163482892608184	0.0732120328643574	0.108130506348556	0.260424280351905	0.0446533402949209	0.212224203923626	0.0209593084654651
TCF12-DT	1.50153369691953	1.53034331616603	1.28909387438462	1.55431314711194	1.82836035296934	1.49900622527729	1.80375194282551	1.72843981871423	1.51428242314155	1.90711741262997	1.50428687998888	1.67585622232675
RGS2-AS1	0.477034032184832	0.166206713527582	0.368867470635705	0.415993189579411	0.579726559532523	0.0840558966801156	0.281742375733132	0.190943822813171	0.269559607726461	0.109144255467605	0.299251609237599	0.233406024336337
TFAP2A-AS2	0.0676183582322059	0	0.0549806399902498	0.0954012992653559	0.258526557995628	0.180554853048481	0.0422892334943493	0.136266446285322	0.185181332237359	0.0556040184340902	0.175888092185076	0.140696864644042
RALY-AS1	1.56139877136448	1.28255239055908	1.56641611677096	1.53931037444253	1.50434542428902	1.53595603881996	1.35709683306529	1.58269791611945	1.87006862379334	1.32705202062504	1.37803150467814	1.84993491499064
HULC	0.775497830279444	0.852708446619441	1.12748633460812	0.74504761172462	0.910140387352145	0.71949048280817	0.891584132771413	1.36616236652067	1.48320752142095	1.24810658247646	1.40182416584712	0.903592658404094
SMN1-AS1	0.173716627830174	0.207474821710334	0.125173270590989	0.165472595444234	0.150434305404344	0.0749545722870053	0.142887540463253	0.0402641011354706	0.296623558408682	0.286936925771908	0.175888092185076	0.197034101721165
SMN2-AS1	0.173716627830174	0.207474821710334	0.125173270590989	0.165472595444234	0.150434305404344	0.0749545722870053	0.142887540463253	0.0402641011354706	0.296623558408682	0.286936925771908	0.175888092185076	0.197034101721165
PIGY-DT	0.0785862628572691	0.0348085207230836	0.107942678549206	0	0.170699425626872	0.102088086976702	0.152572071959715	0.126948635427181	0.213859267119971	0.0664722019755409	0.148022533286327	0.15972143477696
EMICERI	0.417808214594154	0.492636845554424	0.753830882269088	0.691768976149568	0.639109865129011	0.71363812153282	0.26398257873142	0.451990892112981	0.46513244699987	0.35942872331247	0.412892355788201	0.637924829019993
LINC01488	0.110998386538503	0.257453374068206	0.224446639364251	0.125849515864978	0	0.214104414015326	0.103485915952493	0.0402641011354706	0.204363154997971	0.0879659922929681	0.194170541436433	0.140696864644042
ARHGAP11B	0.61149094044408	0.581647491213395	0.644553000213574	0.415993189579411	0.675020302582473	0.539319519514896	0.856461752786874	0.830503930785572	0.778406140311992	0.934798774783926	0.676154329584924	0.937058471085573
TSHR-AS1	0.233821535743041	0.315228261272815	0.390404984108361	0.213518494421137	0.239466261542183	0.278949956299024	0.299286202840947	0.126948635427181	0.204363154997971	0.220373763520623	0.194170541436433	0.215334681995642
LRTOMT	0.142698298894083	0.0462271987208284	0.175663674730283	0.105622272736913	0.0771770467361843	0.246891485158014	0.133137558988118	0.089063670985328	0.175493925977158	0.130016121460945	0.100349454802795	0.131089667305583
NCAL1	1.47272316626279	1.33003782723412	1.35994553427004	0.911589741244146	0.951722157449727	1.16770405464301	2.10994073492297	2.04274979219084	2.21320585214413	2.09133201336903	1.99094293640213	2.02613606233711
TBCE	0.163451107149733	0.50923443424569	0.632553440734397	0.61514191326226	0.928108095458754	0.572032813818474	0.55435063086164	0.717097677546755	0.441076997535016	0.445203407289455	0.381326604901984	0.303509395158383
EEF1AKMT4	1.11079258294773	1.2434056008439	1.16128856337176	1.17204789857845	0.951722157449727	1.0237716101502	1.13572984477708	1.31374371205498	1.07264629361079	0.981483426220983	0.953399601144387	1.23040064446973
SMIM38	0.142698298894083	0.0575562091254956	0.240347824418816	0.222938607597401	0.0878728823070587	0.0749545722870053	0.19067289776994	0.181973623466311	0.0538681640957638	0.0664722019755409	0.0906228416370302	0.197034101721165
LINC02606	0.699380831651002	1.14062286725817	0.742710049822425	0.51133335494625	0.55681214469208	0.890054312177587	0.997478859648512	0.789752470481175	0.778406140311992	0.771711913819449	0.800695726377487	1.08869283145335
